name,shopType,district,status,address,lat,lon,number
天絲服飾店,cloth,內湖區,核准設立,成功路4段30巷47號,25.0824497,121.59213590000002,42285788
日穠豐衣企業社,cloth,北投區,核准設立,溫泉路68巷2號,25.134858,121.505233,42285915
靡日服裝工作室,cloth,萬華區,核准設立,貴陽街二段29巷16號,25.0402295,121.5052388,42286230
佳依服裝行,cloth,信義區,核准設立,永吉路459巷7弄13號,25.046257,121.579086,42286415
玫瑰童話商行,cloth,松山區,核准設立,南京東路5段123巷4弄2號,25.0524833,121.56087209999998,42286702
珊佳服飾店,cloth,士林區,核准設立,福華路128巷2號1樓,25.1028277,121.5228488,42286941
妮軒服飾店,cloth,信義區,核准設立,永吉路443巷5弄4號,25.046137,121.578471,42287809
艾蜜娸精品服飾,cloth,士林區,核准設立,士東路105號1樓,25.1121034,121.5298401,42287890
名瑩服飾行,cloth,萬華區,核准設立,西寧南路129號,25.044262,121.50649,42288053
韋皇服飾店,cloth,士林區,核准設立,中正路216號,25.0955432,121.52617340000002,42288173
丁沛然服飾店,cloth,大同區,核准設立,歸綏街97巷24號3樓之1,25.0595189,121.5157481,42289356
蕾菈服飾精品店,cloth,松山區,核准設立,南京東路3段256巷57號,25.0491033,121.5445713,42289980
韓妮服飾企業社,cloth,士林區,核准設立,天母西路3號1樓之11,25.1185873,121.5292979,42291212
莉安服飾店,cloth,北投區,核准設立,光明路129號,25.133954,121.502158,42291402
溫妮服飾行,cloth,士林區,核准設立,德行東路11號,25.1068146,121.5255242,42291992
同欣圓服飾開發工作室,cloth,萬華區,核准設立,西寧南路72之1號4樓,25.043239,121.5059649,42292726
尚峰服飾店,cloth,南港區,核准設立,忠孝東路6段410號,25.0499764,121.5928682,42295152
小姐女孩服飾店,cloth,大安區,核准設立,敦化南路1段187巷75之1號,25.042613,121.55259879999998,42295688
開紅時尚衣坊,cloth,中山區,核准設立,中山北路2段20巷14號4樓,25.0534816,121.5212568,42295934
俏巧服飾,cloth,中山區,核准設立,四平街92號1樓,25.0535847,121.5344592,42296069
飛飛鞋店,cloth,中正區,核准設立,武昌街1段65號1樓,25.044236,121.510398,42296862
寶瑪服飾企業社,cloth,松山區,核准設立,復興北路313巷30之1號,25.0588398,121.5463723,42297089
黑糖妞妞服飾店,cloth,中山區,核准設立,民生東路2段148號,25.057812100000003,121.5323235,42297665
愛比門服飾,cloth,大安區,核准設立,龍泉街59號,25.023338,121.5294169,42298783
雲裳服飾精品坊,cloth,內湖區,核准設立,成功路4段20巷18號,25.081565,121.591085,42308255
儷坊服飾店,cloth,內湖區,核准設立,東湖路1號1樓,25.0689932,121.6122699,42329300
維塔國際精品服飾店,cloth,中山區,核准設立,南京東路2段115巷18號1樓,25.0531494,121.5335232,42335106
伊賞服裝行,cloth,萬華區,核准設立,艋舺大道120巷12號,25.0318833,121.5014031,42335513
春裳服飾店,cloth,中山區,核准設立,五常街53巷9號,25.064855,121.53969,42337435
三之六手工鞋店,cloth,中正區,核准設立,羅斯福路4段16號,25.0157197,121.5330248,42337575
立芳服飾,cloth,士林區,核准設立,大東路32號,25.0891298,121.5252656,42339187
樓梯強服飾店,cloth,士林區,核准設立,大東路26號,25.0889274,121.5251934,42339356
艾美俐服飾行,cloth,大安區,核准設立,泰順街40巷40號1樓,25.0242078,121.5295025,42339573
勝田騎士服飾用品專賣店,cloth,文山區,核准設立,木柵路2段47號1樓,24.9888896,121.5598912,42339784
昱大服飾行,cloth,大安區,核准設立,大安路1段63號,25.0425549,121.54627859999998,42339813
優蒂服飾店,cloth,中山區,核准設立,南京西路8號1樓,25.0522221,121.521762,42339840
南瓜車服飾行,cloth,信義區,核准設立,中坡北路43巷4號,25.046145000000006,121.580356,42339980
靚彩服飾店,cloth,大安區,核准設立,復興南路2段148巷46號,25.0285022,121.54154979999998,42340023
銨鉑花園精品服飾店,cloth,中山區,核准設立,中山北路2段96巷22號,25.059829,121.5217094,42340564
仟翔服飾行,cloth,信義區,核准設立,永吉路443巷3弄6號,25.045933,121.578505,42341613
法優服飾商行,cloth,信義區,核准設立,永吉路468巷17弄39號2樓,25.044873000000006,121.579922,42342113
靜瑟服飾精品店,cloth,大同區,核准設立,南京西路25巷46號,25.0572262,121.5204646,42342866
米吉服飾店,cloth,信義區,核准設立,松山路119巷17弄18號,25.0476749,121.579919,42343653
星何服飾行,cloth,大安區,核准設立,大安路1段51巷49號,25.043214000000006,121.548031,42345651
加士町潮流服飾,cloth,萬華區,核准設立,武昌街2段50巷11號,25.0443685,121.5070348,42346666
敏品服飾精品店,cloth,大安區,核准設立,敦化南路1段190巷20號,25.0425636,121.5475558,42346785
合磨服飾商行,cloth,松山區,核准設立,饒河街111號1樓,25.0505437,121.57417,42346997
晟翔服飾行,cloth,士林區,核准設立,大北路23號,25.0897336,121.5263555,42347089
巧如服飾行,cloth,松山區,核准設立,復興南路1段47巷15號,25.045311,121.5448035,42347503
童安閣童裝行,cloth,信義區,核准設立,永吉路523號1樓,25.0455889,121.580239,42348518
畢爾斯服飾店,cloth,萬華區,核准設立,漢口街2段74巷4號,25.0457719,121.50463,42381570
放風箏服飾店武昌店,cloth,萬華區,核准設立,武昌街2段50巷20號1樓,25.044192,121.506841,42504313
白馬洋服行,cloth,大安區,核准設立,通化街197號,25.0267906,121.5533869,42555591
蹦蹦小孩服裝工作室,cloth,中山區,核准設立,八德路2段229之1號2樓,25.046807,121.540274,47985445
升鴻服裝材料行,cloth,大同區,核准設立,長安西路338之3號1樓,25.0519111,121.5108229,48501799
