name,shopType,district,status,address,lat,lon,number,state_code
銘御室內外設計工程行,hardware,北投區,核准設立,中央北路2段237巷33號2樓,25.137544000000002,121.492378,38509673,555927048
源榕五金行,hardware,大同區,核准設立,延平北路2段60巷9號1樓,25.0554704,121.5112635,38513613,554026972
雨勳工程行,hardware,萬華區,核准設立,萬大路493巷28弄5號,25.019503,121.49881,38513677,553326877
見張工程行,hardware,南港區,核准設立,合順街8巷3弄18號,25.0421918,121.61890790000001,38515149,553826966
允盛工程行,hardware,士林區,核准設立,社中街228巷3弄1號3樓,25.0916128,121.5081104,38553255,554827029
紘暘工程行,hardware,萬華區,核准設立,和平西路3段109巷11號3樓,25.0359014,121.50051599999999,38553662,553626924
永承水電工程行,hardware,南港區,核准設立,玉成街235巷4號,25.043116100000002,121.5855753,38554114,553826961
台灣愛梭五金行,hardware,萬華區,核准設立,環河南路1段248號,25.0460659,121.50297749999999,38556350,553826949
大昌中古五金行,hardware,萬華區,核准設立,環河南路1段10號,25.0485247,121.50591409999998,38558548,553926956
承達室內裝修工程行,hardware,大安區,核准設立,忠孝東路4段206之1號4樓,25.041193,121.552351,38560827,553726949
青山汽車材料行,hardware,內湖區,核准設立,麗山街328巷8之1號,25.0831862,121.57362109999998,38561229,554727033
亞摩工程行,hardware,內湖區,核准設立,成功路2段301號1樓,25.072623800000002,121.5893976,38566049,554427021
孫氏工程行,hardware,大同區,核准設立,長安西路249號4樓,25.0521572,121.51117920000002,38568980,554026965
大勇工程行,hardware,文山區,核准設立,和平東路4段89號,25.0049991,121.56849199999999,38571303,552926845
宏翊工程行,hardware,內湖區,核准設立,康樂街20巷10號3樓,25.0685099,121.61746699999999,38571520,554327021
立安工程行,hardware,大同區,核准設立,華陰街277巷7號,25.050105399999996,121.51587479999999,38571599,553926961
振鼎工程行,hardware,中山區,核准設立,林森北路259巷9號5樓之14,25.054424800000003,121.5260521,38572632,554026973
水手清潔用品材料行,hardware,內湖區,核准設立,內湖路1段323巷5弄5號5樓,25.082936800000002,121.56832069999999,38574147,554727032
宇伸工程行,hardware,中山區,核准設立,中山北路2段170號8樓,25.0635527,121.5222178,38574358,554226990
以勒工程行,hardware,大安區,核准設立,忠孝東路3段249號3樓,25.0418043,121.54148459999999,38575589,553726948
啟宏五金行,hardware,信義區,核准設立,和平東路3段531巷83號,25.015757,121.56223200000001,38577361,553226879
聖嘉工程行,hardware,中山區,核准設立,松江路283號5樓,25.060222,121.5334757,38578328,554226987
亦翔工程行,hardware,北投區,核准設立,中央北路4段456巷2號,25.129177600000002,121.4698551,38579425,555727043
尚歷工程行,hardware,中正區,核准設立,中華路2段81巷66號,25.0263345,121.5109831,38580350,553426900
創升工程行,hardware,內湖區,核准設立,東湖路160巷10弄20號4樓,25.067609,121.61706799999999,41070606,554327019
佳欣工程行,hardware,中正區,核准設立,忠孝西路1段50號15樓之1,25.046222,121.51583000000001,41083519,553826953
帷新工程行,hardware,中山區,核准設立,民族東路410巷23弄22號5樓,25.066771,121.539449,42268465,554327000
泰泓工程行,hardware,南港區,核准設立,市民大道7段26號2樓,25.0487854,121.58138840000001,42269627,553926973
富瑜工程行,hardware,文山區,核准設立,興隆路2段222號,25.001362699999998,121.552811,42276423,552926829
阿樑工程行,hardware,內湖區,核准設立,內湖路1段629巷40弄16號,25.0817285,121.5743327,42277561,554627032
鼎笙工程行,hardware,北投區,核准設立,中和街493巷16弄16號,25.144371600000003,121.4937256,42277909,556027047
鋐冠工程行,hardware,北投區,核准設立,中和街502巷11弄10號3樓,25.147251,121.493897,42278301,556127046
源泰五金行,hardware,中山區,核准設立,龍江路11巷46號1樓,25.047373399999998,121.5412717,42279759,553926961
宏宥工程行,hardware,信義區,核准設立,和平東路3段447號,25.0189191,121.5586865,42280616,553226888
承安工程行,hardware,文山區,核准設立,興德路53巷15弄3號,25.00198360000001,121.55549029999999,42284084,552926832
宏信工程行,hardware,大安區,核准設立,基隆路2段208號,25.0236889,121.551437,42292492,553326901
利山鋁業工程行,hardware,中山區,核准設立,吉林路394號1樓,25.0652078,121.5301953,42292943,554326995
風尚工程行,hardware,大同區,核准設立,南京西路18巷6號5樓之2,25.0518668,121.52019109999999,42293680,554026966
