state_code,house_unitPrice,lease_unitPrice,cloth_done,convStore_done,edu_all_statecode,hardware_done,hsp_and_clc,illegal_don,job_stat_code,mrt,night_club,park,restaurant_statcode,ubike,center,center_lat,center_lon,dist,vil
552826813,581500.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,"(24.999095628267042, 121.51794403602977)",24.999095628267042,121.51794403602977,永和區,民治里
552826814,492000.0,1225.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"(24.999095628267042, 121.5224760047782)",24.999095628267042,121.5224760047782,永和區,民生里
552826815,720500.0,1225.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,"(24.999095628267042, 121.52700797352662)",24.999095628267042,121.52700797352662,永和區,民樂里
552826816,412000.0,1225.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,"(24.999095628267042, 121.53153994227506)",24.999095628267042,121.53153994227506,永和區,民樂里
552826817,441000.0,1225.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,"(24.999095628267042, 121.53607191102348)",24.999095628267042,121.53607191102348,文山區,萬和里
552826818,507000.0,1250.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,"(24.999095628267042, 121.54060387977192)",24.999095628267042,121.54060387977192,文山區,萬有里
552826819,549500.0,1150.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,"(24.999095628267042, 121.54513584852035)",24.999095628267042,121.54513584852035,文山區,興豐里
552826820,475500.0,972.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,"(24.999095628267042, 121.54966781726878)",24.999095628267042,121.54966781726878,文山區,興安里
552826821,514000.0,1018.5,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,"(24.999095628267042, 121.55419978601721)",24.999095628267042,121.55419978601721,文山區,興得里
552826822,456500.0,1000.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,38.0,1.0,"(24.999095628267042, 121.55873175476565)",24.999095628267042,121.55873175476565,文山區,興光里
552826823,483000.0,1225.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,22.0,0.0,"(24.999095628267042, 121.56326372351407)",24.999095628267042,121.56326372351407,文山區,萬美里
552826824,453500.0,1225.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,"(24.999095628267042, 121.5677956922625)",24.999095628267042,121.5677956922625,文山區,萬美里
552826825,516000.0,1017.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,28.0,0.0,"(24.999095628267042, 121.57232766101093)",24.999095628267042,121.57232766101093,文山區,萬芳里
